Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected,Time_myMethod,Time_exact_HDBSCAN,ARI_myMethod,HAI_myMethod,Time_app_HDBSCAN,ARI_APP_HDBSCAN,HAI_APP_HDBSCAN
standart,5000.0,2.0,8e-05,30.0,False,True,5.632405042648315,1.0315165519714355,0.9997154384953152,0.999671822720003,0.3119556903839111,0.999857404611785,0.9996871017280028
standart,5000.0,10.0,0.0004,10.0,False,True,2.81357741355896,1.0701532363891602,1.0,0.9513013053464876,0.4450423717498779,1.0,0.999433219871998
standart,5000.0,10.0,0.0004,10.0,False,True,2.9867093563079834,0.9723188877105712,1.0,0.9592448989147396,0.4539592266082763,1.0,0.9994673382399988
standart,5000.0,10.0,0.0004,10.0,False,True,2.925487756729126,1.0739986896514893,1.0,0.9712218907843092,0.4528384208679199,1.0,0.999442753023998
standart,5000.0,10.0,0.0004,10.0,False,True,2.9337310791015625,1.062119960784912,1.0,0.9993090245439972,0.4521317481994629,1.0,0.999455906911998
standart,5000.0,10.0,0.0004,10.0,False,True,3.169388055801392,1.064798355102539,1.0,0.8667643197829762,0.446286678314209,1.0,0.9994171498559984
standart,5000.0,10.0,0.0004,20.0,False,True,4.352548837661743,1.1117613315582275,1.0,0.9956657239680532,0.4425098896026611,1.0,0.9997040996480016
standart,5000.0,10.0,0.0004,20.0,False,True,4.369591951370239,1.082860231399536,1.0,0.999664989920001,0.4441936016082763,1.0,0.9997063966400012
standart,5000.0,10.0,0.0004,20.0,False,True,4.203514337539673,1.0134282112121582,1.0,0.9316796559075748,0.4461369514465332,1.0,0.9997143464320012
standart,5000.0,10.0,0.0004,20.0,False,True,4.286219358444214,1.0656447410583496,1.0,0.985857326431628,0.4401631355285644,1.0,0.9996990797120016
standart,5000.0,10.0,0.0004,20.0,False,True,4.320320129394531,1.02001953125,1.0,0.989547150559966,0.4452688694000244,1.0,0.9997007754880012
standart,5000.0,10.0,0.0004,30.0,False,True,5.541279077529907,1.0153977870941162,1.0,0.9747873448638962,0.4481875896453857,1.0,0.999794751136002
standart,5000.0,10.0,0.0004,30.0,False,True,5.39554238319397,1.0747404098510742,1.0,0.9997747578240016,0.4488461017608642,1.0,0.9997843909120014
standart,5000.0,10.0,0.0004,30.0,False,True,5.418657064437866,1.0638141632080078,1.0,0.945165584898918,0.446291446685791,1.0,0.9997895200320016
standart,5000.0,10.0,0.0004,30.0,False,True,5.435540676116943,1.0622596740722656,1.0,0.8847426383014779,0.446624755859375,1.0,0.9998015123200016
standart,5000.0,10.0,0.0004,30.0,False,True,5.510562181472778,1.065002679824829,1.0,0.9717793238406074,0.4515366554260254,1.0,0.9997876801280016
standart,5000.0,32.0,0.00128,10.0,False,True,3.2925167083740234,1.0580556392669678,1.0,0.9991242014079972,0.8748843669891357,1.0,0.9994871965759992
standart,5000.0,32.0,0.00128,10.0,False,True,2.954143047332764,1.056323528289795,1.0,0.988897143935781,0.8493473529815674,1.0,0.9994650943679988
standart,5000.0,32.0,0.00128,10.0,False,True,3.1056387424468994,1.047999620437622,1.0,0.9339978713953062,0.8622562885284424,1.0,0.9994853195519984
standart,5000.0,32.0,0.00128,10.0,False,True,2.9026477336883545,1.008479356765747,1.0,0.9711245152969292,0.961200714111328,1.0,0.9994555549759984
standart,5000.0,32.0,0.00128,10.0,False,True,3.310548782348633,1.057443141937256,1.0,0.971149707200913,0.8508520126342773,1.0,0.9994737479039986
standart,5000.0,32.0,0.00128,20.0,False,True,4.549000978469849,1.099592208862305,1.0,0.967639684353604,0.8543457984924316,1.0,0.9997136077120018
